TypeID,ObjectName,HasCollision,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,ScaleX,ScaleY,ScaleZ
16,floor_tile_large (2),0,-0.75,-0.6500015,-0.2300034,9.334668E-06,0,0,2,1,2
16,floor_tile_large (96),0,-8.71,-0.6500015,7.68,9.334668E-06,0,0,2,1,2
16,floor_tile_large (19),0,-8.71,-0.6500015,-8.129997,9.334668E-06,0,0,2,1,2
16,floor_tile_large (12),0,-8.71,-0.6500015,-0.2399979,9.334668E-06,0,0,2,1,2
16,floor_tile_large (44),0,-16.71,-0.6500015,-0.3300018,9.334668E-06,0,0,2,1,2
16,floor_tile_large (41),0,12.03,-0.6500015,17.72,9.334668E-06,0,0,1.5,1,1.5
16,floor_tile_large (42),0,12.03,-0.6500015,11.81,9.334668E-06,0,0,1.5,1,1.5
12,ramp (2),1,26.1711,7.349998,77.8181,270,0,0,256.2,201.1962,203
12,ramp (4),1,29.138,7.489998,77.7,270,0,0,42.00237,220.9,248.5949
12,ramp (5),1,23.31,7.360001,77.7,270,0,0,42,220.9,248.5
12,ramp (3),1,5.2455,3.370003,66.95,270,90,0,256.2,199.5,200
16,floor_tile_large (43),0,6.05,-0.6500015,17.7,9.334668E-06,0,0,1.5,1,1.5
16,floor_tile_large (45),0,6.05,-0.6500015,11.78,9.334668E-06,0,0,1.5,1,1.5
16,floor_tile_large (11),0,7.22,-0.6500015,-0.25,9.334668E-06,0,0,2,1,2
16,floor_tile_large (22),0,15.21,-0.6500015,-0.2300034,9.334668E-06,0,0,2,1,2
16,floor_tile_large (27),0,22.8,3.330002,-4.260002,9.334668E-06,0,0,2,1,2
16,floor_tile_large (25),0,22.79,3.330002,3.739998,9.334668E-06,0,0,2,1,2
16,floor_tile_large (32),0,22.75,3.330002,11.72,9.334668E-06,0,0,2,1,2
1,stairs_walled,0,19.04,-0.5899963,-0.2300034,0,270,0,1.6,1,1
1,stairs_walled (1),0,19.04,-0.5899963,14.87,0,270,0,1,1,1
8,floor_foundation_allsides,0,19.93,1.339996,-5.949997,9.334668E-06,0,0,1,1,2.09
8,floor_foundation_allsides (1),0,21.92,1.339996,-5.949997,9.334668E-06,0,0,1,1,2.09
8,floor_foundation_allsides (2),0,23.86,1.339996,-5.949997,9.334668E-06,0,0,1,1,2.09
8,floor_foundation_allsides (3),0,25.6,1.339996,-5.949997,9.334668E-06,0,0,1.06,1,2.09
8,floor_foundation_allsides (4),0,19.93,1.339996,-2.010002,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (5),0,21.92,1.339996,-2.010002,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (6),0,23.86,1.339996,-2.010002,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (7),0,25.6,1.339996,-2,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (8),0,19.93,1.339996,1.860001,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (9),0,21.92,1.339996,1.860001,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (10),0,23.86,1.339996,1.860001,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (11),0,25.6,1.339996,1.870003,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (12),0,19.93,1.339996,5.730003,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (19),0,25.61,1.339996,9.720001,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (23),0,19.93,1.339996,13.59,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (22),0,21.92,1.339996,13.59,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (21),0,23.86,1.339996,13.59,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (20),0,25.61,1.339996,13.6,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (27),0,25.61,1.339996,17.24,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (26),0,23.86,1.339996,17.23,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (25),0,21.92,1.339996,17.23,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (24),0,19.93,1.339996,17.23,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (31),0,19.93,1.339996,21.16,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (30),0,21.92,1.339996,21.16,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (29),0,23.86,1.339996,21.16,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (28),0,25.61,1.339996,21.17,9.334668E-06,0,0,1.06,1,2
8,floor_foundation_allsides (35),0,25.54,1.339996,25.12,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (34),0,23.86,1.339996,25.11,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (33),0,21.92,1.339996,25.11,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (32),0,19.93,1.339996,25.11,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (56),0,15.94,1.346397,25.3,9.334668E-06,0,0,1,1,1.82
8,floor_foundation_allsides (61),0,17.91,1.339996,32.18,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (60),0,17.91,1.339996,28.63,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (59),0,17.91,1.346397,25.3,9.334668E-06,0,0,1,1,1.82
8,floor_foundation_allsides (57),0,15.94,1.339996,28.63,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (58),0,15.94,1.339996,32.71,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (47),0,19.93,1.339996,28.63,9.334668E-06,0,0,1,1,2
8,floor_foundation_allsides (55),0,25.54,1.339996,32.19,9.334668E-06,0,0,1,1,2
